name,stuff,bv,difficulty,tags,methods,tools,cook,image_filename
电饭煲版广式腊肠煲饭,腊肠、米,BV1NE411Q7Jj,简单,广式,煲,电饭煲,"食材（2–3人份）
大米 2杯（约300g）
水 略少于平时（约1:1–1.2米水比）
广式腊肠 2–3根，切片
（可选）泡发香菇 3–5朵，切丝
鸡蛋 1–2个
小青菜 适量
酱汁调料：生抽2勺、蚝油1勺、老抽1–2勺、香油1勺、白糖½–1勺、蒸鱼豉油1勺、水约2–3勺.
料酒、胡椒粉、鱼露少许（可按口味加） 

一锅流程
1 泡米香菇：米淘净，泡15–30分钟；香菇提前泡发，保留泡菇水备用。

2 刷油入锅：电饭煲内胆底和边缘抹薄油，防粘又助锅巴。

3 加米加水：将泡好的米沥水后放入锅中，加入泡米水和泡香菇水，水量略少于平时约10–20%。

4 调酱汁：混合所有调料（生抽、蚝油、老抽、鱼豉油、白糖、香油、水等），备用。

5 开始煮饭：选择“煮饭”或“精米”模式，直到八成熟（约25–30分钟）。

6 加入配料：打开盖，均匀铺上腊肠片、香菇丝，打入鸡蛋，将调好的酱汁淋在米饭表面。

7 继续焖煮：合盖继续工作模式焖约15–20分钟，至米饭全熟、香肠热透。

8 青菜处理：同时用另一个锅焯小青菜，沥干水分备用。

9 收尾拌饭：饭熟后焖约5–15分钟不用开盖，最后开盖撒青菜，轻轻拌匀即可。

小贴士
1 少水多油偏干爽，有锅巴更香；喜欢焦脆底部可延长焖煮时间。
2 泡米＋泡菇水更香，米粒更松。
3 中途加料时机建议在八成熟时加入配料，确保食材熟透不糊。
4 焯青菜最后放保色又口感。",1
电饭煲版烧鸡,鸡肉、洋葱、菌菇,BV1T54y1U7Cu,简单,好吃,,电饭煲,"食材（1只整鸡）
1 整鸡 约1.2–1.5kg
腌料：
生抽 2 汤勺
老抽 2 汤勺
料酒 2 汤勺
蚝油 1 汤勺
盐 ½ – 1 茶勺
黑胡椒粉／花椒粉 ½ 茶勺
白糖 1 茶勺

香料：
葱 2–3根（切段）
姜 4–6片
洋葱半个（切丝，铺锅底）
可选：蜂蜜 1 汤勺（提升上色与风味）

一锅流程
1 处理鸡：洗净、扎小孔/牙签密扎（40–50下），帮助入味并防止皮爆裂。

2 腌制：将鸡与腌料（生抽、老抽、料酒、蚝油、盐、糖、椒粉）均匀揉匀，放葱姜塞肚内。

3 腌制至少2小时，建议冷藏3小时或以上，中途翻面一次。

4 准备电饭煲：底部铺洋葱丝，再放姜片葱段。将腌好的鸡放入，倒入袋中剩余汁液。

5 开始烹饪：按「无水炖肉」或「煮饭」键，约40分钟至自动跳保温。⏱

6 焖煮：结束后再焖10–20分钟，令肉质更酥烂入味。

7 出锅：打开煲盖，稍微解压冷却2–3分钟，再撕鸡或切块上桌。

小贴士
1 扎孔按摩：能显著增强入味和提升卖相皮脆。
2 底铺香料：葱姜洋葱片防粘底、增香提味。
3 无水＋焖煮：保证鸡肉软烂脱骨、口感鲜嫩。
4 可加蜂蜜：提升焦香色泽，更诱人上桌。",2
电饭煲焖面,猪肉、面食,BV14b411q7rM,简单,筋道,,电饭煲,"食材（2–3人份）
挂面或细面条 一把（约150–200g）
蛋 1–2个，打散
豆角、豇豆或蒜苔等青菜 150–200g（切段）
肉类：五花肉片或肉末 100–150g（可加火腿片替代）
番茄、洋葱、土豆任选其一搭配
调味料：生抽2–4勺、老抽1勺、蚝油1勺、甜面酱或郫县豆瓣酱1勺、盐少许、糖半勺、鸡精或鸡粉少许。

一锅流程
1 炒配料：电饭煲内略加油或无需加油（BV视频无油版本）。先放葱姜蒜或干辣椒爆香，再下肉类及青菜翻炒，加调料（生抽、蚝油、甜面酱等）上色入味。

2 鸡蛋炒香：另入蛋液或与菜肉同锅，炒至凝固后盛出或留锅中覆面。

3 配面焖煮：将炒好的菜肉均匀铺底，放入面条，轻撒油防粘，加少量清水（或番茄出水），水刚盖过面即可。

4 “煮饭”功能焖约20–25分钟；中途可开盖翻拌一次，促均匀吸汁。

5 焖至吸干：电饭锅跳保温后静置5–10分钟，让面更入味不粘锅。

6 出锅拌匀：打开锅盖，用筷子翻拌均匀即可享用香喷喷的焖面。

小贴士
1 水量控制：面条表面刚露即可，太多会稀；太少易糊。
2 中途翻拌：一次中途翻料有助于上色入味。
3 青菜搭配：豆角、蒜苔、豇豆均适用；先炒过再焖可保持口感。
4 蛋香升级：蛋液先炒后入锅盖面，既入味又增香。
5 无油版本：可以完全不加油，靠配料自身油脂也足够滋味。",3
电饭煲版番茄牛腩焖饭,牛肉、番茄、米,BV1Bv411C7X3,简单,懒人,,电饭煲,"食材（2–3人份）
牛腩 300–500g
番茄 2–3个（或1个+番茄酱2勺）
土豆 1个（可加）
胡萝卜 1根（可选）
洋葱 半个
大米 适量（建议1–2杯，与牛腩饭同锅或另煮）
调味：生抽2–4勺、蚝油1勺、料酒1–2勺、糖1勺、盐适量
（选）番茄酱2勺提升浓稠
香料（可选）：姜几片、葱段、八角、桂皮等

一锅流程
1 焯水牛腩：牛腩切块冷水下锅，加姜和料酒煮5分钟，撇去浮沫捞出冲洗干净 

2 电饭煲炒料（也可省略）：内胆刷油，启动“煮饭”键，先放葱洋葱炒香，再加入番茄丁（或番茄酱）翻出番茄沙锅底

3 加入主料：放入焯好水的牛腩、土豆块、胡萝卜；调入生抽、蚝油、料酒、糖，拌匀。

4 一键炖煮：添清水（刚没过食材为佳），盖盖，按烹饪“煮饭”模式（亦可用“炖汤”模式）煮约40分钟 → 自动跳保温后继续焖20分钟

5 收尾：开盖调盐，撒葱花，翻匀即可出锅。想口感更干爽时，可再干饭模式焖1分钟；若要搭米饭，可以将牛腩番茄汁与白米同煮。

小贴士
1 焯水去腥：冷水下锅+撇沫能显著提升成菜清香 
2 番茄炒出沙：先炒番茄让汤汁更浓稠，味道更醇厚 
3 延长焖煮：跳保温后继续焖20分钟，可让牛腩酥烂更入味 
4 无需电压力锅：使用电饭煲轻松做，无水炒底更简单。可用“炖汤”模式或多次“煮饭”循环代替。",4
电饭煲版蜜汁鸡翅,鸡肉,BV1dj411f7sR,简单,懒人,,电饭煲,"食材（大约8–10只鸡翅）
鸡翅 8–10只
腌料：
生抽 3 大勺
老抽 2 大勺
蚝油 2 大勺
料酒 2 大勺
蜂蜜 2–3 大勺
蒜末 2–3 大勺
黑胡椒粉 ½ 小勺
盐半小勺
姜片/丝 少量（可选）

一锅流程
1 鸡翅处理
清洗后在背面斜切一两刀，帮助入味。

2 腌制入味
将鸡翅和所有调料放入保鲜袋或碗中，密封后按摩均匀。

3 常规腌制30分钟即可，若时间允许建议冷藏3小时以上或过夜。

4 将鸡翅及剩余汁液连同腌料一起倒入电饭煲内胆（无需额外水或油）。可铺上一层姜片预防粘底，也增强风味。

5 选择“煮饭”模式，运行约30 分钟。中途（约10–15分钟时）打开翻面一次，以防粘底并让鸡翅受热均匀。

6 煮饭程序结束后，保温状态中再焖5–10分钟，让蜜汁充分渗透。期间可根据喜好淋入额外蜂蜜。

7 打开盖，撒芝麻或葱花装饰，即可上桌，香嫩可口，酱香浓郁。

小贴士
1 斜刀切口：帮助酱汁快速渗入，口感更佳。
2 鸡翅无需加水或油：腌汁和鸡脂本身足以出汁且锁味。
3 中途翻面：保障鸡翅受热均匀，避免底部糊锅。
4 盐可酌减：若使用较咸酱油，适量调整；蜂蜜最后收汁时再加更香。",5
电饭煲版南瓜鸡腿焖饭,鸡肉、洋葱、菌菇、米,BV1Bv411C7X3,简单,懒人,,电饭煲,"食材（2–3人份）
鸡腿 2–3只（去骨切块）
南瓜 300–5 g
洋葱 半个（切丝）
干香菇 5–8朵（泡发切块，可增香） 
大米 2杯（约300g）
调味料：生抽2大勺、蚝油1大勺、料酒1大勺、盐½小勺、白胡椒/黑胡椒少许
（可选）葱段、蒜片提香

一锅流程
1 鸡腿处理
去骨切块，可切一刀或划纹帮助入味。 

2 腌制（可选）
若提前腌10–15分钟效果更佳，可加少许料酒和胡椒。

3 预炒提香
电饭煲内胆抹油，启动“煮饭”键：

4 放入洋葱丝（和蒜片），爆香；

5 加入鸡块翻炒至表面变白；

6 加入南瓜块、香菇略炒，捞出再放回锅中。 

7 加米加水

8 大米淘洗入锅，水量比正常煮饭略少10–15%（南瓜香菇会出水）。

9 加入炒好的鸡腿南瓜香菇铺面，调入生抽、蚝油、料酒、盐，并可撒葱段。

10 一键焖煮，按“煮饭”键焖煮约40分钟，电饭煲跳保温后再焖10分钟入味。 

11 开盖后用饭勺轻轻翻匀，让南瓜鸡汁渗入米饭，更香甜入味。

小贴士
1 腌制更入味：提前腌制鸡腿，口感更鲜嫩。
2 水量掌控：少水可防焖饭过湿，南瓜自带水分。
3 锅巴香更足：煮好后多焖几分钟，更容易形成锅巴。
4 香菇可选：干香菇提升香气，但可省略。",6
电饭煲版土豆排骨焖饭,猪肉、土豆、米、腊肠,BV1Bv411C7X3,简单,懒人,,电饭煲,"食材（2–3人份）
排骨 250–30 g
土豆 1个（约150–200 g），切滚刀块
胡萝卜 1根，切丁（可选）
干香菇 5–8朵，泡发切片（可选）
大米 2杯（约300 g）
调味：生抽 3–4勺、老抽 1勺、蚝油 1–2勺、料酒 1–2勺、白糖 ½–1勺、盐适量
香料：姜几片、葱段、八角、桂皮、香叶（任选）

一锅流程
1 排骨焯水
排骨冲洗后冷水下锅，煮开后略煮5分钟，去除浮沫→捞出洗净备用 

2 腌制调味
混合生抽、老抽、蚝油、料酒、糖和少许盐，倒入排骨拌匀，腌制10分钟↑，更入味。

3 爆香排骨
电饭煲内胆刷油，启动“煮饭”模式→放入姜片、葱爆香，再下排骨煎至微金黄

4 加菜略炒
放入土豆块、胡萝卜丁、香菇继续翻炒1–2分钟，让调味均匀包裹。

5 炖煮食材
倒入调味汁和约 水600 ml（或汤汁），加入香料炖煮约8–10分钟

6 混入大米
米淘洗干净，倒入电饭煲内，先加入适量汤汁（覆盖米面），然后倒入菜肉块，铺均齐。

7 一键焖饭
合盖启动“煮饭”程序（如柴火饭模式），煮约40–45分钟，电饭煲跳保温后焖10分钟更香

8 拌匀上桌
开盖撒葱花，轻轻拌匀即可上桌，软香排骨、绵滑米饭、丰富配料完美融合。

小贴士
1 焯水去腥：冷水下锅+煮开能带走浮沫
2 先煎后焖：排骨煎下后米饭更香，肉质软烂。
3 水量控制：汤汁需覆盖米面，切勿过多或过少
4 焖后松饭：焖10分钟有助于形成锅巴，口感更佳。
5 灵活配菜：可加豌豆、玉米、香菇等，提升口感和色泽。",7
电饭煲版香菇腊肠焖饭,腊肠、菌菇、洋葱、米、土豆,BV1Bv411C7X3,简单,懒人,,电饭煲,"食材（2–3人份）
大米 200g（1杯半）
广式腊肠 2–3根，切片
干香菇 4–8朵，泡发切片
胡萝卜半根，切丁（可选）／玉米粒或豌豆适量
葱花少许
调味料：生抽2汤匙、老抽1汤匙、蚝油1汤匙、白糖1茶匙、香油1茶匙、水或泡菇水少量（约1–2汤匙）

一锅流程
1 准备材料：大米淘洗干净泡10–30分钟备用；香菇泡发切片，腊肠切片，胡萝卜切丁

2 炒香配料：电饭煲选择“煮饭”模式，倒入少许油，先煸香腊肠至微出油，再加入香菇和胡萝卜翻炒，调入生抽、老抽、蚝油、糖、香油及少许水，翻炒至水分快收干

3 拌饭焖煮：将炒好的配料倒入电饭煲中的泡米上，均匀铺开，加入米水至刚覆盖米面，盖上盖子，按“煮饭”键→米饭煮熟后静置焖10分钟，让香气充分渗入

4 出锅调味：打开锅盖，撒上葱花，轻轻拌匀即可享用。

小贴士
1 炒香再焖：先炒香腊肠、香菇，能激发香味并锁住颗粒感
2 水量控制：米面刚被覆盖为宜，太多会稀，太少易夹生
3 焖煮关键：煮好后多焖10分钟，口感更香更松散
4 自由配菜：可加入土豆、玉米或豌豆等，丰富色香味",8
电饭煲版香卤牛肉,牛肉、米,BV1dR4y1F7H2,简单,卤味,煮,电饭煲,"食材（约500g )
牛腱子肉 500g（整块或切大块）
生姜 3–5片
葱 2–3根（切段）
大蒜 2瓣（拍碎）
八角 2颗、桂皮 1块、香叶 2–3片
花椒、小茴香各少许
调味：生抽 60g、老抽 20g、蚝油 1T (1T为一汤匙)、料酒 1T、冰糖 1块（约10 g）、盐适量
水或高汤，没过牛肉

一锅流程
1 泡血水：牛肉切块后清洗干净，用冷水浸泡30–60分钟，中途换水去血水

2 （可选冷冻）：控干水分后可冷冻1小时，肉质更紧实易切

3 焯水：冷水下锅加姜片和料酒，煮5分钟后撇去浮沫，洗净备用

4 准备炖料：在电饭煲内放入所有腌料、香料（八角、桂皮、花椒、香叶、小茴香、葱姜蒜），倒入适量水/高汤和调味料，搅匀。

5 煮炖：放入牛肉，选择“煮饭”或“煲汤/炖肉”模式，约50分钟炖煮

6 焖入味：程序结束后让牛肉自然浸泡/焖4小时以上（可冰箱冷藏），更入味、易切

7 切片上桌：牛肉彻底冷却后切薄片，可搭配香菜、蒜蓉辣酱食用

小贴士
1 泡血&焯水：两步作用叠加，彻底去腥更干净
2 冷冻强化：冷冻后肉质更紧致，卤好不易散
3 慢炖+焖入味：电饭煲慢煮后继续焖，肉既软又易切
4 卤汁复用：剩余卤汁可留冻后下次继续用
5 切片技巧：冷透后切得薄而整齐，口感最佳",9
电饭煲叉烧排骨,猪肉、洋葱,BV1Ab4y1p7dw,简单,下饭,,电饭煲,"食材（约500–600g 排骨）
排骨 500–600g
调料：
叉烧酱 2 大勺
生抽 1 大勺
料酒 1 大勺
老抽 少许（用于上色，可选）
蜂蜜 1 小勺（上色提香，可选）
蒜末 2 瓣份量
姜片 2–3 片
葱段 1 根
大料（八角 / 香叶各一粒）

一锅流程
1 焯水：排骨洗净，冷水下锅，加入料酒和姜片煮沸约3–5 分钟，去血水后冲洗干净 

2 腌制：将排骨与叉烧酱、生抽、料酒、蒜末、姜片和葱段以及（可选）蜂蜜和老抽拌匀，腌制至少 30 分钟，建议冷藏过夜风味最佳

3 入锅炖煮：将腌好的排骨（连汁）铺入电饭煲内胆，可放入大料，按下「煮饭/精华煮」键开始烹煮

4 中途翻面：程序运行约 15 分钟时，打开翻动一次排骨，使其更均匀受热（视频示范也推荐）

5 收汁完成：电饭煲跳至保温后让排骨焖约 5–10 分钟。若酱汁过多，可再按一次「煮饭」键收干多余汤汁，直至叉烧酱浓稠包裹排骨

6 出锅装盘：挑出姜葱和大料，撒上芝麻或葱花，香气浓郁，色泽诱人。

小贴士
1 焯水干扰腥：确保炖出干净味道 
2 腌料充足：叉烧酱是关键，蜂蜜与老抽为色泽增亮、味道更香 
3 中途翻面：避免某侧糊锅，利于均匀上色 
4 双煮收汁：如汁多可多次运行“煮饭”，令酱香更浓稠 ",10
